snapshot_date,commissioning_month,size_segment,plant_count,unit_count,power_gw,energy_gwh,median_duration_hours,network_verified_plant_count,period_complete
2026-09-11,2005-09-01,small,2,2,0.0000081,0.000017,2.086956522,0,true
2026-09-11,2005-10-01,overall,5,5,0.000033082,0.00004714,1.46969697,3,true
2026-09-11,2005-10-01,small,5,5,0.000033082,0.00004714,1.46969697,3,true
2026-09-11,2005-11-01,overall,6,6,0.00002579,0.00003678,1.155011655,2,true
2026-09-11,2005-11-01,small,6,6,0.00002579,0.00003678,1.155011655,2,true
2026-09-11,2005-12-01,overall,7,7,0.00004976,0.00007141,1,6,true
2026-09-11,2005-12-01,small,7,7,0.00004976,0.00007141,1,6,true
2026-09-11,2006-01-01,overall,1,1,0.0000025,0.000005,2,0,true
2026-09-11,2006-01-01,small,1,1,0.0000025,0.000005,2,0,true
2026-09-11,2006-02-01,overall,1,1,0.0000092,0.000014,1.52173913,0,true
2026-09-11,2006-02-01,small,1,1,0.0000092,0.000014,1.52173913,0,true
2026-09-11,2006-04-01,overall,1,1,0.000002592,0.000006,2.314814815,0,true
2026-09-11,2006-04-01,small,1,1,0.000002592,0.000006,2.314814815,0,true
2026-09-11,2006-05-01,medium,1,1,0.00003,0.000032,1.066666667,0,true
2026-09-11,2006-05-01,overall,5,5,0.00005014,0.00005648,1.066666667,2,true
2026-09-11,2006-05-01,small,4,4,0.00002014,0.00002448,1.151041667,2,true
2026-09-11,2006-06-01,overall,7,7,0.00004227,0.00006303,1.111111111,5,true
2026-09-11,2006-06-01,small,7,7,0.00004227,0.00006303,1.111111111,5,true
2026-09-11,2006-07-01,overall,1,1,0.000011878,0.00001263,1.063310322,0,true
2026-09-11,2006-07-01,small,1,1,0.000011878,0.00001263,1.063310322,0,true
2026-09-11,2006-08-01,overall,3,3,0.0000098,0.0000165,1,2,true
2026-09-11,2006-08-01,small,3,3,0.0000098,0.0000165,1,2,true
2026-09-11,2006-09-01,overall,2,2,0.0000275,0.00002805,1.119565217,2,true
2026-09-11,2006-09-01,small,2,2,0.0000275,0.00002805,1.119565217,2,true
2026-09-11,2006-10-01,overall,1,1,0.0000062,0.0000074,1.193548387,0,true
2026-09-11,2006-10-01,small,1,1,0.0000062,0.0000074,1.193548387,0,true
2026-09-11,2006-11-01,overall,2,2,0.00001341,0.00001336,0.995726496,2,true
2026-09-11,2006-11-01,small,2,2,0.00001341,0.00001336,0.995726496,2,true
2026-09-11,2006-12-01,overall,2,2,0.00001257,0.00001727,1.712121212,2,true
2026-09-11,2006-12-01,small,2,2,0.00001257,0.00001727,1.712121212,2,true
2026-09-11,2007-03-01,overall,1,1,0.00000306,0.0000036,1.176470588,0,true
2026-09-11,2007-03-01,small,1,1,0.00000306,0.0000036,1.176470588,0,true
2026-09-11,2007-04-01,overall,2,2,0.000010695,0.000014721,1.36969697,2,true
2026-09-11,2007-04-01,small,2,2,0.000010695,0.000014721,1.36969697,2,true
2026-09-11,2007-06-01,overall,4,4,0.00002735,0.00002285,1,1,true
2026-09-11,2007-06-01,small,4,4,0.00002735,0.00002285,1,1,true
2026-09-11,2007-07-01,medium,1,1,0.0000042,0.000042,10,1,true
2026-09-11,2007-07-01,overall,6,6,0.00005782,0.0000933,1.000610501,3,true
2026-09-11,2007-07-01,small,5,5,0.00005362,0.0000513,1,2,true
2026-09-11,2007-08-01,overall,2,2,0.00000937,0.0000098,1.055555556,1,true
2026-09-11,2007-08-01,small,2,2,0.00000937,0.0000098,1.055555556,1,true
2026-09-11,2007-09-01,overall,3,3,0.00001965,0.00002285,1.086956522,3,true
2026-09-11,2007-09-01,small,3,3,0.00001965,0.00002285,1.086956522,3,true
2026-09-11,2007-10-01,overall,3,3,0.000015089,0.00001545,1,1,true
